qid	question	focus	sid	url	sentence	annotationOpt
421	Is it true that humans depend on roads from the environment? 	roads	5	http://en.wikipedia.org/wiki/Road_transport	The first methods of road transport were horses, xen or even humans carrying goods over dirt tracks that often followed (food) game trail.	?	0.6336
421	Is it true that humans depend on roads from the environment? 	roads	7	http://en.wikipedia.org/wiki/Environmental_Justice_Foundation	A short briefing entitled End of the Road for Endosulfan was compiled which was used in to convince the Cambodian Environment Minister to ban endosulfan in the country.	?	0.6336
421	Is it true that humans depend on roads from the environment? 	roads	1	http://en.wikipedia.org/wiki/Human_impact_on_the_environment	The human impact on the natural environment: past, present, and future.	?	0.6304
421	Is it true that humans depend on roads from the environment? 	roads	1	http://en.wikipedia.org/wiki/Human_impact_on_the_environment	The effects of these chemicals on humans and the environment are not yet known, but to date there is no scientific evidence that they have an impact on human health.	?	0.6191
421	Is it true that humans depend on roads from the environment? 	roads	2	http://www.answers.com/topic/environmental-protection-agency	Its existence has resulted in heightened awareness and concern for the environment worldwide.	?	0.5932
421	Is it true that humans depend on roads from the environment? 	roads	10	http://www2.epa.gov/aboutepa/road-rio-success-earth-summit-depends-how-well-we-follow-through-its-principles-and	As the Director General of the United Nations Environment Program, Dr.	?	0.5932
421	Is it true that humans depend on roads from the environment? 	roads	1	http://en.wikipedia.org/wiki/Human_impact_on_the_environment	Human impact on the environment or anthropogenic impact on the environment includes impacts on (biophysical) biophysical environments, biodiversity, and other resources.	?	0.5794
421	Is it true that humans depend on roads from the environment? 	roads	1	http://en.wikipedia.org/wiki/Human_impact_on_the_environment	Whether reservoir projects are ultimately beneficial or detrimental—to both the environment and surrounding human populations— has been debated since the 1960s and probably long before that.	?	0.5794
421	Is it true that humans depend on roads from the environment? 	roads	5	http://en.wikipedia.org/wiki/Road_transport	He also designed his roads so that they sloped downwards from the centre, allowing drainage to take place, a major improvement on the work of Trésaguet.	?	0.5694
421	Is it true that humans depend on roads from the environment? 	roads	5	http://en.wikipedia.org/wiki/Road_transport	Methods to stabilise macadam roads with tar date back to at least 1834 when John Henry Cassell, operating from Cassell's Patent Lava Stone Works in Millwall, patented "Pitch Macadam".	?	0.5694
421	Is it true that humans depend on roads from the environment? 	roads	5	http://en.wikipedia.org/wiki/Road_transport	Some road transportation is done on regular routes or for only one consignee per run, while others transport goods from many different loading stations/shippers to various consignees.	?	0.5694
421	Is it true that humans depend on roads from the environment? 	roads	5	http://en.wikipedia.org/wiki/Road_transport	Toll roads peaked in the mid 19th century, and by the turn of the twentieth century most toll roads were taken over by state highway departments.	?	0.5694
421	Is it true that humans depend on roads from the environment? 	roads	7	http://en.wikipedia.org/wiki/Environmental_Justice_Foundation	It describes itself as “a UK-based non-profit organisation working internationally to protect the environment and human rights.” EJF's core tenet is set out in the Mission Statement on its website.	?	0.5669
