qid	question	focus	sid	url	sentence	annotationOpt
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(3)	http://en.wikipedia.org/wiki/Decomposer	Decomposers can break down cells of other organisms using biochemical reactions that convert the prey tissue into metabolically useful chemical products, without need for internal digestion.	?	0.7998
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(9)	http://www.bbc.co.uk/schools/gcsebitesize/science/add_aqa_pre_2011/foodchains/foodchains1.shtml	Decomposers Feed on dead and decaying organisms, and on the undigested parts of plant and animal matter in faeces.	?	0.7998
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(5)	http://www.edinformatics.com/math_science/what_is_the_food_chain.htm	A decomposer means an organism that breaks down large molecules from dead organisms into small molecules and returns important materials to the environment.	?	0.7426
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(7)	http://www.bbc.co.uk/schools/gcsebitesize/science/add_ocr_gateway/green_world/decayrev1.shtml	Saprophytes The main groups of decomposer organisms are bacteria and fungi.	?	0.7339
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(8)	http://regentsprep.org/Regents/core/questions/questions.cfm?Course=BIOL&TopicCode=6d	A decomposer breaks down dead matter and a herbivore eats only plants.	?	0.6546
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	Animals can also eat each other; the bullfrog bullfrog eats crayfish and crayfish eat young bullfrogs.	?	0.6191
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(5)	http://www.edinformatics.com/math_science/what_is_the_food_chain.htm	Consumers are animals that eat producers or other animals.	?	0.6191
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(6)	http://www.ducksters.com/science/ecosystems/food_chain_and_web.php	Animals rely on plants as well as other animals for energy.	?	0.6191
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(6)	http://www.ducksters.com/science/ecosystems/food_chain_and_web.php	Animals that eat other animals are called secondary consumers or carnivores.	?	0.6191
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	Animals that eat other animals are called carnivores, and animals that eat both plant and other animals are called omnivores.	?	0.6066
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	Animals that eat primary producers (like plants) are called herbivores.	?	0.5932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(6)	http://www.ducksters.com/science/ecosystems/food_chain_and_web.php	Animals that eat plants are called primary consumers or herbivores.	?	0.5932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(6)	http://www.ducksters.com/science/ecosystems/food_chain_and_web.php	Some animals play both roles, eating both plants and animals.	?	0.5932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	Decomposers The fungi on this tree feed on dead matter, converting it back to nutrients that primary producers can use.	?	0.5348
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(5)	http://www.edinformatics.com/math_science/what_is_the_food_chain.htm	A decomposer makes dead things into chemicals and then the chemicals go into the air, ground or water and is used again.	?	0.5235
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(6)	http://www.ducksters.com/science/ecosystems/food_chain_and_web.php	In an ecosystem, plants and animals all rely on each other to live.	?	0.5235
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(9)	http://www.bbc.co.uk/schools/gcsebitesize/science/add_aqa_pre_2011/foodchains/foodchains1.shtml	They are either secondary or tertiary consumers Prey The animals that predators feed on.	?	0.5235
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	Decomposers, such as bacteria and fungi (mushrooms), feed on waste and dead matter, converting it into inorganic chemicals that can be recycled as mineral nutrients for plants to use again.	?	0.5110
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(8)	http://regentsprep.org/Regents/core/questions/questions.cfm?Course=BIOL&TopicCode=6d	Commensalism is when one organism benefits and the other is not affected.	?	0.4951
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(8)	http://regentsprep.org/Regents/core/questions/questions.cfm?Course=BIOL&TopicCode=6d	Parasitism is when one organism benefits at the other organisms expense.	?	0.4951
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	The trophic level of an organism is the position it occupies in a food chain.	?	0.4932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	A food chain represents a succession of organisms that eat another organism and are, in turn, eaten themselves.	?	0.4932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	The number of steps an organism is from the start of the chain is a measure of its trophic level.	?	0.4932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(1)	http://en.wikipedia.org/wiki/Trophic_level	Further trophic levels are numbered subsequently according to how far the organism is along the food chain.	?	0.4932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(3)	http://en.wikipedia.org/wiki/Decomposer	Bacteria are vital in the recycling of nutrients, and many steps in nutrient cycles depend on these organisms.	?	0.4932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(5)	http://www.edinformatics.com/math_science/what_is_the_food_chain.htm	The animal that eats the secondary consumer is called a third order consumer and so on to fourth, fifth, etc.	?	0.4932
61	Is it true that a decomposer is an organism that preys on other animals? 	preys on other animals	Some(6)	http://www.ducksters.com/science/ecosystems/food_chain_and_web.php	The names depend mostly on what the organism eats and how it contributes to the of the ecosystem.	?	0.4932
