qid	question	focus	sid	url	sentence	annotationOpt
88	Is it true that green plants get the energy they need to make food from soil? 	soil	6	http://www.answers.com/mt/pitcher-plant	Does the pitcher plant manufacture its own food? Does the pitcher plant manufacture its own food? Yes, the pitcher plant is a green plant and makes its food by photosynthesis.	?	0.7998
88	Is it true that green plants get the energy they need to make food from soil? 	soil	4	http://simple.wikipedia.org/wiki/Plant	A green substance in plants called chlorophyll traps the energy from the Sun needed to make food.	?	0.7622
88	Is it true that green plants get the energy they need to make food from soil? 	soil	3	http://en.wikipedia.org/wiki/Sustainable_agriculture	The phenomenon is being called Peak Soil as present large scale factory farming techniques are jeopardizing humanity's ability to grow food in the present and in the future.	?	0.7164
88	Is it true that green plants get the energy they need to make food from soil? 	soil	10	http://www.britannica.com/EBchecked/topic/422875/nutrition/242097/Nutrition-in-plants	Bacteria of the genus Azobacter live freely in soil, while those of the genus Rhizobium live sheltered in the roots of leguminous plants such as peas and beans.	?	0.7164
88	Is it true that green plants get the energy they need to make food from soil? 	soil	2	http://www.bbc.co.uk/schools/gcsebitesize/science/add_gateway_pre_2011/greenworld/plantmineralsrev1.shtml	Plants and minerals Plants need to build the complex molecules they need from minerals (elements and simple compounds), which they get from the soil.	?	0.7146
88	Is it true that green plants get the energy they need to make food from soil? 	soil	6	http://www.answers.com/mt/pitcher-plant	So they don't need to depend on the soil for nutrients.	?	0.6615
88	Is it true that green plants get the energy they need to make food from soil? 	soil	6	http://www.answers.com/mt/pitcher-plant	Since the soil in bogs is very low in nitrogen, it must get its nitrogen from eating insects.	?	0.6615
88	Is it true that green plants get the energy they need to make food from soil? 	soil	8	http://curiosity.discovery.com/question/why-do-plants-need-fertilizers	But sometimes they need a little help getting out of the ground.	?	0.6615
88	Is it true that green plants get the energy they need to make food from soil? 	soil	10	http://www.britannica.com/EBchecked/topic/422875/nutrition/242097/Nutrition-in-plants	Another source of soil nutrients is the decomposition of dead plants and animals and their waste products.	?	0.6615
88	Is it true that green plants get the energy they need to make food from soil? 	soil	6	http://www.answers.com/mt/pitcher-plant	Where the soil is poor, plants need an alternate source of nitrates and phosphorus,which the insects provide.	?	0.6265
88	Is it true that green plants get the energy they need to make food from soil? 	soil	6	http://www.answers.com/mt/pitcher-plant	They like humid boggy conditions and a pitcher plant will prosper in sandy acidic soil.	?	0.6218
88	Is it true that green plants get the energy they need to make food from soil? 	soil	3	http://en.wikipedia.org/wiki/Sustainable_agriculture	Nitrogen fixation from legumes, for example, used in conjunction with plants that rely on nitrate from soil for growth, helps to allow the land to be reused annually.	?	0.6205
88	Is it true that green plants get the energy they need to make food from soil? 	soil	6	http://www.answers.com/mt/pitcher-plant	They usually obtain these minerals directly from the soil but most insectivorous plants grow in waterlogged soil from which the nutrients have been leached away by the water.	?	0.6205
88	Is it true that green plants get the energy they need to make food from soil? 	soil	1	http://en.wikipedia.org/wiki/Soil_microbiology	Autotrophic bacteria, or bacteria that derives its energy making its own food by oxidation, like the Nitrobacters species, rather than feeding on plants or other organisms.	?	0.6069
88	Is it true that green plants get the energy they need to make food from soil? 	soil	2	http://www.bbc.co.uk/schools/gcsebitesize/science/add_gateway_pre_2011/greenworld/plantmineralsrev1.shtml	Animals on the other hand get their complex molecules ready made from their food – they need very few minerals to supplement their diet.	?	0.6069
