qid	question	focus	sid	url	sentence	annotationOpt
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	4	http://www.answers.com/mt/personal-hygiene	Taking a bath or shower once daily is very important to ensuring your body stays clean.	?	0.6265
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	4	http://www.answers.com/mt/personal-hygiene	atleast one or twice a week.Use a body spray or a deodrant after you finished taking a bath or shower.	?	0.6265
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	1	http://en.wikipedia.org/wiki/Bathing	It can take place in a bathtub or shower, or it can be in a river, lake, water hole, pool or the bathing sea, or any other water receptacle.	?	0.5854
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	4	http://www.answers.com/mt/personal-hygiene	This means taking a shower or a bath and using soap and hot water to wash away the bacteria that build up over the course of the day.	?	0.5854
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	9	http://www.drpbody.com/hygiene.html	How often you take a bath or shower will depend on your activities.	?	0.5854
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	3	http://en.wikipedia.org/wiki/Hygiene	Enlarge Astronaut taking a hot bath in the crew quarters of the Orbital Workshop (OWS) of the Skylab space station cluster in Earth orbit.	?	0.5808
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	4	http://www.answers.com/mt/personal-hygiene	Personal Hygiene includes taking a bath, brushing your teeth, cleaning your nails, your ears, washing your hands, etc.	?	0.5808
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	1	http://en.wikipedia.org/wiki/Bathing	The following year, the first public bath of its type to be built in mainland Britain since Roman times was opened in Manchester, and the idea spread rapidly.	?	0.5789
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	1	http://en.wikipedia.org/wiki/Bathing	The use of a bath in religious ritual or ceremonial rites include immersion during baptism in Christianity and to achieve a state of ritual cleanliness in a mikvah in Judaism.	?	0.5789
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	1	http://en.wikipedia.org/wiki/Bathing	Bathrooms usually have a tap, and a shower if it is a modern home, and a huge water heating pot.	?	0.5789
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	2	https://answers.yahoo.com/question/index?qid=20070711201501AATIdxI	People who meditate regularly have been shown to feel less anxiety and depression.	?	0.5789
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	3	http://en.wikipedia.org/wiki/Hygiene	Some regular hygienic practices may be considered good (psychology) habits by a society while the neglect of hygiene can be considered disgusting, disrespectful or even threatening.	?	0.5789
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	3	http://en.wikipedia.org/wiki/Hygiene	If a shower has not been used for some time, it should be left to run at a hot temperature for a few minutes before use.	?	0.5789
181	Is it true that an example of a poor health habit is taking a bath or shower regularly? 	taking a bath or shower regularly	4	http://www.answers.com/mt/personal-hygiene	While washing hair regularly is a matter of personal hygiene, things such as curling the hair or dyeing it are a matter of appearance only.	?	0.5789
