qid	question	focus	sid	url	sentence	annotationOpt
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(9)	http://dictionary.reference.com/browse/cloudy	Here, despite being almost rainless, the weather is often cloudy and cool.	?	0.7575
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(5)	http://dictionary.reference.com/browse/windy	Summers are cool and cloudy, while winters are typically windy and rainy.	?	0.7164
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(9)	http://dictionary.reference.com/browse/cloudy	Online Etymology Dictionary, © 2010 Douglas Harper Example sentences Summers are cool and cloudy, while winters are typically windy and rainy.	?	0.7164
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Enlarge Thunderstorm near Garajau, Madeira Weather is the state of the atmosphere, to the degree that it is hot or cold, wet or dry, calm or stormy, clear or cloudy.	?	0.6931
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(5)	http://dictionary.reference.com/browse/windy	Sometimes a few days will be windy and cloudy, but these periods of inclement weather usually come and go quickly.	?	0.6931
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(5)	http://dictionary.reference.com/browse/windy	Trouble is, the weather is windy and chilly right now.	?	0.6615
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(7)	http://usefulenglish.ru/vocabulary/weather-and-temperature	Sample weather reports Mainly cloudy with a little drizzle.	?	0.6615
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(8)	http://education-portal.com/academy/lesson/spanish-idioms-to-describe-weather-and-the-seasons.html	In this lesson, we will look at some idioms used to describe the weather, and we will explore the concept of translating words versus ideas.	?	0.6265
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(6)	http://education-portal.com/academy/lesson/weather-definition-types-quiz.html	Cold Front Cold Front Below is the weather symbol for a cold front.	?	0.6218
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(7)	http://usefulenglish.ru/vocabulary/weather-and-temperature	Cold frosty weather: 0 degrees Fahrenheit, or –18 degrees Celsius.	?	0.6218
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(6)	http://education-portal.com/academy/lesson/weather-definition-types-quiz.html	Windy Windy days are primarily formed as a warm air mass rises upward and cold air rushes in to fill the vacuum.	?	0.6205
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	There are a variety of end users to weather forecasts.	?	0.6029
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(6)	http://education-portal.com/academy/lesson/weather-definition-types-quiz.html	One of the most significant factors that affects weather is air masses.	?	0.6029
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(8)	http://education-portal.com/academy/lesson/spanish-idioms-to-describe-weather-and-the-seasons.html	Weather Idioms Using 'Hacer' In Spanish, there are many idioms that describe the weather using the verb hacer, which means to make or to do.	?	0.5808
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(8)	http://education-portal.com/academy/lesson/spanish-idioms-to-describe-weather-and-the-seasons.html	Review of Weather Idioms It's really just a matter of getting familiar with each phrase to describe the weather, as opposed to translating from English to Spanish.	?	0.5808
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(1)	http://en.wikipedia.org/wiki/Earthquake_weather	Earthquake weather is a type of weather popularly believed to precede quakes.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(1)	http://en.wikipedia.org/wiki/Earthquake_weather	Humphreys that earthquake weather is not of geological causes, but merely a ychological manifestation.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(1)	http://en.wikipedia.org/wiki/Earthquake_weather	Furthermore, this relative change would not cause any single recognizable weather pattern that could be labelled "earthquake weather".	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Turning back to the meteorological perspective, most weather phenomena occur in the troposphere, just below the stratosphere.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Weather generally refers to day-to-day temperature and (meteorology) precipitation activity, whereas climate is the term for the average atmospheric conditions over longer periods of time.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	When used without qualification, "weather", is generally understood to mean the weather of Earth.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Weather is driven by air pressure (temperature and moisture) differences between one place and another.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Studying how the weather works on other planets has been helpful in understanding how weather works on Earth.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Almost all familiar weather phenomena occur in the troposphere (the lower part of the atmosphere).	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Weather occurs primarily due to air pressure (temperature and moisture) differences between one place to another.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Weather systems in the tropics, such as monsoons or organized thunderstorm systems, are caused by different processes.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	The uneven solar heating (the formation of zones of temperature and moisture gradients, or frontogenesis) can also be due to the weather itself in the form of cloudiness and precipitation.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	The simple systems thus formed can then display behaviour to produce more complex systems and thus other weather phenomena.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	In this way, weather plays a major role in erosion of the surface.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Weather has played a large and sometimes direct part in e world human history.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	Weather warnings are important forecasts because they are used to protect life and property.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	On an everyday basis, people use weather forecasts to determine what to wear on a given day.	?	0.5789
374	Is it true that windy, cloudy, rainy, and cold are words that help describe weather? 	weather	Some(3)	http://en.wikipedia.org/wiki/Weather	A recent example of weather control was China's preparation for the Summer Olympic Games.	?	0.5789
